Feature Name,Locus,Start Coordinate,End Coordinate,Translation Start Coordinate,Translation End Coordinate,Disruptions Available,Distance from Translation Start,Fractional Distance from Translation Start,In Multiple Occupancy Well,Locatability,Progenitor Collection Address,Rearrayed Collection Address
SO_2929,['SO_2929'],3061114,3062181,3061114,3062181,"3061670","556","0.52","False","unambiguous","185_C11","17_H1"
SO_2930,['SO_2930'],3062438,3065161,3062438,3065161,"3063049, 3065065, 3064525, 3064525","611, 2627, 2087, 2087","0.22, 0.96, 0.77, 0.77","False, True, True, True","unambiguous, unambiguous, ambiguous, ambiguous","113_E5, 186_C11, 341_B3, 404_B1","5_A9, 17_H2, 42_E9, 44_A5"
SO_2931,['SO_2931'],3065280,3066452,3065280,3066452,"3065574","294","0.25","False","unambiguous","201_H4","18_E6"
SO_2932,['SO_2932'],3066684,3067745,3067745,3066684,"3067707","38","0.04","False","unambiguous","348_B8","30_E1"
sohB,['SO_2933'],3067939,3068967,3068967,3067939,"3068795","172","0.17","True","ambiguous","190_E11","38_D5"
SO_2934,['SO_2934'],3069068,3071551,3071551,3069068,"3071482, 3069144","69, 2407","0.03, 0.97","False, True","unambiguous, unambiguous","161_D3, 67_F3","15_G3, 45_C4"
SO_2935,['SO_2935'],3071812,3072549,3071812,3072549,"3071851","39","0.05","False","unambiguous","382_H1","32_B12"
SO_2936,['SO_2936'],3072641,3073612,3073612,3072641,"3072703, 3073605","909, 7","0.94, 0.01","False, True","unambiguous, ambiguous","270_C8, 35_B3","23_E5, 42_C12"
rluB,['SO_2937'],3073726,3074601,3074601,3073726,"3073851, 3073944, 3074129","750, 657, 472","0.86, 0.75, 0.54","True, True, False","ambiguous, unambiguous, unambiguous","196_E7, 223_B5, 176_A8","17_G12, 19_C12, 37_B12"
SO_2938,['SO_2938'],3074870,3075412,3074870,3075412,"3075132","262","0.48","False","unambiguous","322_A5","27_C12"
SO_2939,['SO_2939'],3075413,3076123,3076123,3075413,"3076072","51","0.07","False","unambiguous","22_H9","8_D1"
SO_4790,['SO_4790'],3076127,3076450,3076450,3076127,"3076283","167","0.52","False","unambiguous","351_F4","30_F5"
J,['SO_2940'],3076447,3080472,3080472,3076447,"3080456","16","0.00","False","unambiguous","330_E10","28_G6"
I,['SO_2941'],3080477,3081106,3081106,3080477,"3081095","11","0.02","False","unambiguous","301_B5","26_D2"
SO_2942,['SO_2942'],3081183,3081749,3081749,3081183,"3081644, 3081644","105, 105","0.19, 0.19","False, True","unambiguous, unambiguous","302_B10, 302_B3","26_D3, 41_G10"
K,['SO_2943'],3081827,3082114,3082114,3081827,"3082064","50","0.17","False","ambiguous","264_A11","40_E10"
SO_2944,['SO_2944'],3082152,3083747,3083747,3082152,"3083204","543","0.34","False","unambiguous","315_E12","27_A8"
SO_2945,['SO_2945'],3083759,3084664,3084664,3083759,"3084352, 3083813, 3084390, 3084126, 3084126","312, 851, 274, 538, 538","0.34, 0.94, 0.30, 0.59, 0.59","False, True, True, True, True","unambiguous, ambiguous, ambiguous, unambiguous, unambiguous","105_F3, 226_H9, 378_F7, 407_A6, 176_A6","11_G11, 20_E3, 32_E7, 34_E11, 37_A12"
SO_2946,['SO_2946'],3084704,3085492,3085492,3084704,"3085382, 3085382, 3084858, 3084858","110, 110, 634, 634","0.14, 0.14, 0.80, 0.80","True, False, True, True","unambiguous, unambiguous, ambiguous, ambiguous","137_B3, 137_B1, 345_E10, 354_E10","6_D9, 13_A8, 29_F10, 30_B8"
SO_2947,['SO_2947'],3085495,3085767,3085767,3085495,"3085724","43","0.16","False","unambiguous","199_D7","18_F3"
K,['SO_2948'],3085850,3086563,3086563,3085850,"3086473","90","0.13","False","unambiguous","189_C6","17_D6"
L,['SO_2949'],3086615,3087340,3087340,3086615,"3087232","108","0.15","False","unambiguous","43_F5","9_E2"
SO_2950,['SO_2950'],3087333,3087992,3087992,3087333,"3087888, 3087688","104, 304","0.16, 0.46","True, False","unambiguous, unambiguous","122_F2, 413_H2","6_E1, 35_E5"
SO_2951,['SO_2951'],3087995,3090109,3090109,3087995,"3089887, 3089167, 3089295","222, 942, 814","0.11, 0.45, 0.39","False, True, True","unambiguous, unambiguous, unambiguous","130_C8, 146_B3, 352_C3","13_C4, 36_A12, 43_B1"
M,['SO_2952'],3090143,3090478,3090478,3090143,"3090221","257","0.77","False","unambiguous","240_D11","21_D3"
H,['SO_2953'],3090478,3093222,3093222,3090478,"3093214","8","0.00","True","unambiguous","52_G1","9_B7"
SO_2954,['SO_2954'],3093294,3093446,3093446,3093294,"","","","","","",""
G,['SO_2955'],3093485,3093979,3093979,3093485,"3093953","26","0.05","False","unambiguous","400_H12","34_G5"
V,['SO_2956'],3094067,3094540,3094540,3094067,"3094199","341","0.72","True","unambiguous","248_G12","40_H3"
SO_2957,['SO_2957'],3094635,3095003,3095003,3094635,"3094795, 3094794","208, 209","0.57, 0.57","True, False","ambiguous, unambiguous","55_E4, 303_G1","9_D8, 26_F6"
SO_2958,['SO_2958'],3095000,3095461,3095461,3095000,"3095225","236","0.51","False","unambiguous","160_F5","15_A3"
SO_2959,['SO_2959'],3095464,3095700,3095700,3095464,"3095470, 3095695","230, 5","0.97, 0.02","True, False","unambiguous, unambiguous","203_D5, 240_H12","18_A8, 40_B1"
SO_2960,['SO_2960'],3095703,3096065,3096065,3095703,"3095922","143","0.40","False","unambiguous","382_A8","32_A11"
SO_2961,['SO_2961'],3096065,3096361,3096361,3096065,"3096355","6","0.02","False","unambiguous","214_E10","19_B5"
SO_2962,['SO_2962'],3096383,3096667,3096667,3096383,"3096631","36","0.13","False","unambiguous","160_A7","15_B2"
SO_2963,['SO_2963'],3096756,3097946,3097946,3096756,"3097666","280","0.24","False","unambiguous","130_G10","13_F4"
SO_2964,['SO_2964'],3097959,3098813,3098813,3097959,"3098554, 3098555","259, 258","0.30, 0.30","True, True","unambiguous, unambiguous","227_D9, 128_B3","20_B4, 36_D6"
B,['SO_2965'],3098823,3100121,3100121,3098823,"3099634","487","0.38","False","unambiguous","416_G11","35_D9"
SO_2966,['SO_2966'],3100118,3100279,3100279,3100118,"3100209","70","0.43","True","unambiguous","288_C1","24_F11"
A,['SO_2968'],3100279,3102493,3102493,3100279,"3102401","92","0.04","False","unambiguous","158_E9","14_G11"
SO_2969,['SO_2969'],3102505,3102834,3102834,3102505,"3102702","132","0.40","False","unambiguous","246_C12","40_G2"
SO_2970,['SO_2970'],3102831,3103190,3103190,3102831,"3103127","63","0.18","False","unambiguous","208_C7","18_D11"
S,['SO_2971'],3103183,3103452,3103452,3103183,"3103397","55","0.20","False","ambiguous","281_F12","41_D3"
SO_2972,['SO_2972'],3103569,3104093,3104093,3103569,"3103980","113","0.22","False","unambiguous","395_G12","33_B12"
R,['SO_2973'],3104248,3104760,3104760,3104248,"3104744","16","0.03","True","unambiguous","343_D5","29_B8"
SO_2974,['SO_2974'],3104764,3105027,3105027,3104764,"3104967","60","0.23","True","unambiguous","178_C3","16_F7"
SO_4791,['SO_4791'],3105185,3105475,3105475,3105185,"3105439","36","0.12","False","unambiguous","3_F8","7_G2"
SO_2975,['SO_2975'],3105504,3105839,3105839,3105504,"3105671, 3105671","168, 168","0.50, 0.50","False, True","unambiguous, unambiguous","313_A11, 355_A11","27_C5, 30_G8"
SO_2976,['SO_2976'],3105865,3106188,3106188,3105865,"3106087","101","0.31","False","unambiguous","96_G3","11_E6"
SO_4792,['SO_4792'],3106188,3106439,3106439,3106188,"3106328","111","0.44","False","unambiguous","25_H4","40_H4"
SO_2977,['SO_2977'],3106445,3106696,3106696,3106445,"3106645, 3106645","51, 51","0.20, 0.20","True, True","unambiguous, unambiguous","85_B7, 85_B3","10_A11, 45_A9"
SO_2978,['SO_2978'],3106804,3108003,3108003,3106804,"3107557, 3107361","446, 642","0.37, 0.54","False, True","unambiguous, ambiguous","276_C5, 152_D8","23_H11, 37_A3"
SO_2979,['SO_2979'],3108003,3108602,3108602,3108003,"3108580","22","0.04","True","unambiguous","127_D4","13_D2"
SO_2980,['SO_2980'],3108602,3109168,3109168,3108602,"3108981","187","0.33","False","unambiguous","209_A12","18_D12"
SO_2981,['SO_2981'],3109169,3109753,3109753,3109169,"3109702","51","0.09","False","unambiguous","268_D11","40_D11"
SO_2982,['SO_2982'],3109744,3110259,3110259,3109744,"3110192, 3110192","67, 67","0.13, 0.13","True, True","ambiguous, ambiguous","242_E10, 242_E2","21_C5, 40_E1"
SO_2983,['SO_2983'],3110256,3110648,3110648,3110256,"3110354","294","0.75","True","unambiguous","88_B3","45_D10"
P,['SO_2984'],3110632,3111192,3111192,3110632,"3111184","8","0.01","False","unambiguous","312_E4","27_E4"
O,['SO_2985'],3111164,3112234,3112234,3111164,"3111788, 3111184, 3111788","446, 1050, 446","0.42, 0.98, 0.42","True, False, True","unambiguous, unambiguous, unambiguous","128_A3, 312_E4, 128_A3","13_F2, 27_E4, 36_C6"
SO_2986,['SO_2986'],3112291,3112584,3112584,3112291,"3112575","9","0.03","False","ambiguous","86_C4","45_C9"
SO_2987,['SO_2987'],3112584,3112778,3112778,3112584,"3112675","103","0.53","False","unambiguous","201_A4","18_G5"
cII,['SO_2988'],3112771,3113280,3113280,3112771,"3113191","89","0.17","True","unambiguous","108_B3","36_B1"
cro,['SO_2989'],3113308,3113535,3113535,3113308,"3113430","105","0.46","False","unambiguous","293_F9","25_H4"
cI,['SO_2990'],3113664,3114482,3113664,3114482,"","","","","","",""
SO_2991,['SO_2991'],3114503,3114925,3114503,3114925,"3114570","67","0.16","False","unambiguous","224_G9","20_G1"
SO_2992,['SO_2992'],3114948,3115253,3114948,3115253,"3115128","180","0.59","True","unambiguous","187_A2","38_A4"
SO_4793,['SO_4793'],3115885,3116073,3115885,3116073,"3115901","16","0.09","True","unambiguous","285_C11","24_C9"
SO_2993,['SO_2993'],3116135,3116878,3116135,3116878,"3116799","664","0.89","False","ambiguous","294_E7","25_H5"
SO_2995,['SO_2995'],3117168,3117245,3117168,3117245,"3117218","50","0.65","True","unambiguous","170_H8","15_C12"
SO_2997,['SO_2997'],3117306,3117719,3117306,3117719,"3117699, 3117459","393, 153","0.95, 0.37","True, False","unambiguous, unambiguous","364_E4, 52_H11","31_A6, 44_A12"
SO_2998,['SO_2998'],3117712,3117993,3117712,3117993,"","","","","","",""
SO_2999,['SO_2999'],3118077,3118241,3118077,3118241,"","","","","","",""
SO_3000,['SO_3000'],3118251,3118838,3118251,3118838,"3118712","461","0.79","False","unambiguous","157_F6","14_E10"
SO_3001,['SO_3001'],3118835,3119224,3118835,3119224,"3118977","142","0.37","True","unambiguous","312_A3","27_G3"
SO_3002,['SO_3002'],3119221,3119892,3119221,3119892,"3119695","474","0.71","False","unambiguous","299_G2","41_G8"
SO_3003,['SO_3003'],3119889,3120236,3119889,3120236,"3119935","46","0.13","False","unambiguous","33_A12","2_F4"
dam,['SO_3004'],3120233,3121198,3120233,3121198,"3120604, 3120521","371, 288","0.38, 0.30","True, False","unambiguous, unambiguous","235_G4, 112_G4","20_D11, 36_G2"
SO_3005,['SO_3005'],3121195,3121692,3121195,3121692,"3121413","218","0.44","True","unambiguous","416_C5","35_E8"
dcm,['SO_3006'],3121689,3123362,3121689,3123362,"3121839","150","0.09","False","unambiguous","95_B12","11_B5"
SO_4794,['SO_4794'],3123371,3123619,3123371,3123619,"","","","","","",""
SO_3007,['SO_3007'],3123585,3123710,3123585,3123710,"","","","","","",""
SO_3008,['SO_3008'],3123707,3124120,3123707,3124120,"3123718, 3123957, 3123863","11, 250, 156","0.03, 0.61, 0.38","True, True, True","unambiguous, unambiguous, unambiguous","330_H2, 13_B3, 45_B3","28_A7, 36_G6, 44_C10"
SO_3009,['SO_3009'],3124120,3124395,3124120,3124395,"3124162","42","0.15","False","unambiguous","291_E3","25_E2"
SO_3010,['SO_3010'],3124382,3124582,3124382,3124582,"3124474","92","0.46","True","unambiguous","189_F3","17_G6"
SO_4795,['SO_4795'],3124579,3124776,3124579,3124776,"","","","","","",""
xis,['SO_3012'],3124776,3124988,3124776,3124988,"3124793","17","0.08","False","unambiguous","83_F2","4_F3"
int,['SO_3013'],3124994,3126253,3126253,3124994,"3125995","258","0.20","False","unambiguous","221_E12","19_A11"
scpB,['SO_3014'],3126435,3127031,3127031,3126435,"3126883","148","0.25","False","unambiguous","179_F4","16_H9"
scpA,['SO_3015'],3127035,3127823,3127823,3127035,"3127614","209","0.27","False","unambiguous","387_F7","33_H6"
yciO,['SO_3016'],3128013,3128633,3128633,3128013,"3128075","558","0.90","False","ambiguous","226_E2","20_B3"
trpH,['SO_3017'],3128630,3129490,3129490,3128630,"3128982","508","0.59","False","unambiguous","12_G8","7_H7"
trpE,['SO_3019'],3129862,3131586,3129862,3131586,"3130806, 3130031","944, 169","0.55, 0.10","True, False","unambiguous, unambiguous","16_G12, 335_C12","1_E6, 28_C11"
trpG,['SO_3020'],3131597,3132205,3131597,3132205,"3131643","46","0.08","False","unambiguous","26_D8","8_A4"
trpD,['SO_3021'],3132205,3133248,3132205,3133248,"3133246","1041","1.00","False","unambiguous","117_H6","5_D11"
trpCF,['SO_3022'],3133254,3134750,3133254,3134750,"3133391","137","0.09","True","unambiguous","286_F5","24_C10"
trpB,['SO_3023'],3134870,3136060,3134870,3136060,"3134918, 3135269, 3134915","48, 399, 45","0.04, 0.34, 0.04","True, True, True","ambiguous, unambiguous, unambiguous","51_C3, 263_B3, 350_B4","2_E12, 40_C10, 42_F12"
trpA,['SO_3024'],3136066,3136902,3136066,3136902,"3136089, 3136482","23, 416","0.03, 0.50","False, True","unambiguous, unambiguous","130_H11, 35_B3","6_E5, 42_C12"
SO_3025,['SO_3025'],3136993,3138027,3138027,3136993,"3137607, 3138014","420, 13","0.41, 0.01","True, False","unambiguous, unambiguous","330_C8, 398_D9","28_E6, 44_E1"
SO_3027,['SO_3027'],3138540,3138965,3138540,3138965,"3138782, 3138691","242, 151","0.57, 0.36","True, True","unambiguous, unambiguous","45_C7, 13_C7","2_G9, 36_H6"
SO_3029,['SO_3029'],3139149,3139433,3139149,3139433,"3139384","235","0.83","True","unambiguous","310_F6","27_H1"
pubA,['SO_3030'],3140010,3141506,3140010,3141506,"3140474","464","0.31","False","unambiguous","411_G5","35_H3"
pubB,['SO_3031'],3141506,3142126,3141506,3142126,"3142110","604","0.97","True","unambiguous","72_A3","3_G10"
pubC,['SO_3032'],3142151,3144043,3142151,3144043,"3142230, 3142177, 3142999","79, 26, 848","0.04, 0.01, 0.45","True, True, True","unambiguous, unambiguous, ambiguous","315_A9, 246_E6, 346_D10","27_B7, 40_A3, 42_H10"
putA,['SO_3033'],3144149,3146341,3144149,3146341,"3145794, 3144334, 3145794","1645, 185, 1645","0.75, 0.08, 0.75","True, False, True","unambiguous, unambiguous, unambiguous","394_A5, 340_A7, 399_A5","33_H10, 42_C9, 44_B2"
putB,['SO_3034'],3146466,3147551,3146466,3147551,"3146963","497","0.46","False","unambiguous","157_E4","14_C10"
ispZ,['SO_3035'],3147707,3148252,3147707,3148252,"3148187","480","0.88","True","unambiguous","178_G12","16_D8"
yciL,['SO_3036'],3148252,3148551,3148252,3148551,"3148258","6","0.02","False","unambiguous","381_G7","32_F10"
xth,['SO_3037'],3148551,3149363,3148551,3149363,"","","","","","",""
tnpA,['SO_3038'],3149522,3149713,3149713,3149522,"","","","","","",""
SO_4797,['SO_4797'],3149848,3150285,3150285,3149848,"3150205","80","0.18","True","unambiguous","393_C9","33_B10"
tnpA,['SO_3039'],3150802,3151833,3151833,3150802,"","","","","","",""
SO_3040,['SO_3040'],3152102,3153079,3153079,3152102,"","","","","","",""
SO_3041,['SO_3041'],3153166,3153702,3153702,3153166,"","","","","","",""
tnpA,['SO_3042'],3153785,3154021,3153785,3154021,"","","","","","",""
SO_3043,['SO_3043'],3154107,3154730,3154730,3154107,"","","","","","",""
tnpA,['SO_3044'],3155008,3156210,3155008,3156210,"","","","","","",""
SO_3045,['SO_3045'],3156525,3156947,3156947,3156525,"3156884","63","0.15","False","unambiguous","59_C3","9_B10"
SO_3046,['SO_3046'],3157382,3158836,3158836,3157382,"3157920, 3157915, 3157874, 3158138","916, 921, 962, 698","0.63, 0.63, 0.66, 0.48","True, True, True, False","unambiguous, ambiguous, unambiguous, unambiguous","206_D8, 225_A3, 161_E9, 92_E7","18_C10, 20_A2, 37_G6, 45_H12"
SO_3047,['SO_3047'],3158951,3159442,3159442,3158951,"3159392","50","0.10","False","unambiguous","235_D11","20_B11"
SO_3048,['SO_3048'],3159803,3162049,3162049,3159803,"3162003, 3160608","46, 1441","0.02, 0.64","True, True","unambiguous, unambiguous","268_G7, 327_B3","23_E4, 42_E5"
SO_3049,['SO_3049'],3162051,3162545,3162545,3162051,"3162411, 3162131","134, 414","0.27, 0.84","True, True","unambiguous, unambiguous","175_B7, 188_F12","16_F3, 38_D4"
mocA,['SO_3050'],3162549,3163238,3163238,3162549,"3163042","196","0.28","False","unambiguous","182_A7","16_C11"
SO_3051,['SO_3051'],3163238,3164251,3164251,3163238,"3163738","513","0.51","False","ambiguous","118_F2","12_C8"
SO_3052,['SO_3052'],3164468,3166207,3166207,3164468,"3165771","436","0.25","False","unambiguous","1_H12","7_F1"
SO_3054,['SO_3054'],3166568,3167212,3167212,3166568,"3167013, 3166867","199, 345","0.31, 0.54","True, True","unambiguous, ambiguous","87_F10, 371_C8","10_B12, 31_C12"
pip,['SO_3055'],3167387,3168676,3167387,3168676,"3167534","147","0.11","False","unambiguous","341_E2","29_B6"
SO_3056,['SO_3056'],3168896,3169279,3169279,3168896,"3169256","23","0.06","False","unambiguous","27_G8","8_B5"
SO_3057,['SO_3057'],3169321,3170958,3170958,3169321,"3170283, 3170555","675, 403","0.41, 0.25","True, True","unambiguous, unambiguous","192_C4, 42_G10","17_A9, 44_D9"
SO_3058,['SO_3058'],3170994,3172547,3172547,3170994,"3172289","258","0.17","True","unambiguous","399_H12","34_A5"
SO_3059,['SO_3059'],3172713,3174239,3172713,3174239,"3173007","294","0.19","False","unambiguous","219_F9","19_G9"
SO_3060,['SO_3060'],3174325,3175494,3175494,3174325,"3174659, 3174821, 3174427, 3174821, 3175077","835, 673, 1067, 673, 417","0.71, 0.58, 0.91, 0.58, 0.36","True, True, True, True, False","ambiguous, unambiguous, ambiguous, unambiguous, unambiguous","166_D12, 279_C2, 194_A11, 279_C2, 326_F8","15_C7, 24_E2, 38_B7, 41_E2, 42_D5"
topB,['SO_3061'],3175744,3177852,3177852,3175744,"3177564, 3177841","288, 11","0.14, 0.01","True, True","unambiguous, unambiguous","64_F4, 146_H8","10_E1, 36_B12"
SO_3062,['SO_3062'],3178052,3178339,3178052,3178339,"3178081","29","0.10","False","unambiguous","183_H8","16_F12"
SO_3063,['SO_3063'],3178633,3180120,3178633,3180120,"3178802","169","0.11","False","unambiguous","143_F6","6_E12"
purF,['SO_3064'],3180216,3181730,3181730,3180216,"3181516, 3181543","214, 187","0.14, 0.12","True, False","unambiguous, unambiguous","51_A10, 188_A1","9_A6, 38_C4"
cvpA,['SO_3065'],3181913,3182401,3182401,3181913,"","","","","","",""
dedD,['SO_3066'],3182511,3183356,3183356,3182511,"","","","","","",""
folC,['SO_3067'],3183349,3184644,3184644,3183349,"","","","","","",""
truA,['SO_3068'],3184712,3185497,3185497,3184712,"3185166","331","0.42","False","unambiguous","66_D12","10_B3"
fimV,['SO_3069'],3185600,3188932,3188932,3185600,"3187263, 3188570","1669, 362","0.50, 0.11","True, True","unambiguous, ambiguous","102_H1, 280_G7","11_B10, 41_B3"
asd,['SO_3070'],3189112,3190128,3190128,3189112,"","","","","","",""
pdxB,['SO_3071'],3190131,3191261,3191261,3190131,"3191238","23","0.02","False","unambiguous","193_G12","17_C10"
fabB,['SO_3072'],3191408,3192643,3192643,3191408,"","","","","","",""
mnmC,['SO_3073'],3192758,3194857,3192758,3194857,"3193058, 3194265","300, 1507","0.14, 0.72","False, True","unambiguous, ambiguous","21_C9, 366_A8","1_C9, 31_G7"
SO_3075,['SO_3075'],3195052,3195660,3195660,3195052,"3195597","63","0.10","False","unambiguous","57_D2","45_B1"
yfcL,['SO_3076'],3195664,3195945,3195945,3195664,"3195796","149","0.53","False","unambiguous","128_H4","13_D3"
SO_3077,['SO_3077'],3196030,3197160,3197160,3196030,"3196982","178","0.16","False","unambiguous","68_H10","10_D4"
SO_3078,['SO_3078'],3197223,3198392,3198392,3197223,"3197957, 3198068, 3198159, 3198068, 3198068","435, 324, 233, 324, 324","0.37, 0.28, 0.20, 0.28, 0.28","True, True, False, True, True","ambiguous, ambiguous, unambiguous, ambiguous, ambiguous","133_A10, 184_G10, 187_A10, 310_G10, 42_G10","13_G5, 17_C1, 17_G3, 27_A2, 44_D9"
aroC,['SO_3079'],3198470,3199564,3199564,3198470,"3199486","78","0.07","False","unambiguous","94_H2","11_H4"
prmB,['SO_3080'],3199693,3200637,3200637,3199693,"3200537","100","0.11","False","unambiguous","363_F3","31_B5"
yfcN,['SO_3081'],3200718,3201248,3200718,3201248,"3200943","225","0.42","False","unambiguous","268_D9","23_H3"
sixA,['SO_3082'],3201326,3201796,3201796,3201326,"3201737","59","0.13","False","unambiguous","145_F2","13_D12"
SO_3083,['SO_3083'],3201966,3204755,3201966,3204755,"3204165, 3204277, 3202015","2199, 2311, 49","0.79, 0.83, 0.02","True, True, False","ambiguous, unambiguous, unambiguous","269_F10, 122_B3, 386_A4","23_H4, 36_B5, 43_A10"
SO_3084,['SO_3084'],3205040,3209308,3205040,3209308,"3205367, 3205367, 3205243","327, 327, 203","0.08, 0.08, 0.05","True, True, False","ambiguous, ambiguous, unambiguous","55_F12, 192_F12, 281_B1","3_B2, 17_B9, 24_E4"
SO_3085,['SO_3085'],3209415,3209993,3209415,3209993,"3209961","546","0.94","True","unambiguous","247_B3","40_C3"
SO_3086,['SO_3086'],3210021,3210137,3210021,3210137,"3210110","89","0.77","False","unambiguous","408_H9","44_B7"
SO_3087,['SO_3087'],3210267,3210476,3210476,3210267,"3210461","15","0.07","True","unambiguous","288_B3","41_E5"
fadJ,['SO_3088'],3210696,3212813,3212813,3210696,"3211934, 3212604","879, 209","0.42, 0.10","True, False","unambiguous, unambiguous","204_H4, 15_B6","18_A9, 37_F1"
fadI,['SO_3089'],3212819,3214129,3214129,3212819,"3213852","277","0.21","False","unambiguous","28_C12","8_F5"
SO_3090,['SO_3090'],3214398,3215354,3214398,3215354,"3214507","109","0.11","False","unambiguous","44_A5","2_E9"
SO_3091,['SO_3091'],3215468,3216451,3215468,3216451,"3216016","548","0.56","False","unambiguous","74_F3","10_H6"
SO_3092,['SO_3092'],3216527,3217120,3216527,3217120,"","","","","","",""
batA,['SO_3093'],3217114,3218130,3217114,3218130,"3218006, 3217446, 3217413","892, 332, 299","0.88, 0.33, 0.29","False, True, True","unambiguous, unambiguous, ambiguous","88_E10, 223_F11, 246_A1","4_A7, 39_A7, 40_F2"
batB,['SO_3094'],3218130,3220169,3218130,3220169,"3218240, 3219291","110, 1161","0.05, 0.57","True, True","unambiguous, ambiguous","73_F4, 52_G1","3_G11, 9_B7"
batD,['SO_3095'],3220163,3221830,3220163,3221830,"3220612, 3220484","449, 321","0.27, 0.19","True, False","unambiguous, unambiguous","399_B11, 413_G8","34_C4, 44_E8"
SO_3096,['SO_3096'],3221897,3222460,3221897,3222460,"3222130","233","0.41","False","unambiguous","186_G9","17_F3"
SO_3097,['SO_3097'],3222453,3223157,3222453,3223157,"3223032","579","0.82","False","unambiguous","119_G2","12_D9"
putP,['SO_3098'],3223316,3224758,3223316,3224758,"3223357, 3224233, 3223357","41, 917, 41","0.03, 0.64, 0.03","True, True, True","unambiguous, unambiguous, unambiguous","405_B5, 35_B3, 405_B3","34_B9, 42_C12, 44_C5"
SO_3099,['SO_3099'],3225099,3226421,3225099,3226421,"3225429","330","0.25","False","unambiguous","179_A7","16_G8"
SO_3100,['SO_3100'],3226525,3226911,3226525,3226911,"3226782, 3226680","257, 155","0.67, 0.40","True, False","unambiguous, unambiguous","101_C5, 205_E12","11_C9, 18_F9"
SO_3101,['SO_3101'],3227070,3227786,3227070,3227786,"3227734","664","0.93","True","unambiguous","342_G7","42_G9"
SO_3102,['SO_3102'],3227975,3228988,3227975,3228988,"3228167","192","0.19","True","unambiguous","272_D2","23_C7"
SO_3103,['SO_3103'],3229025,3232288,3229025,3232288,"3230743, 3229389, 3229890, 3229298, 3231884, 3229847","1718, 364, 865, 273, 2859, 822","0.53, 0.11, 0.27, 0.08, 0.88, 0.25","True, True, True, False, True, True","unambiguous, unambiguous, unambiguous, unambiguous, unambiguous, unambiguous","43_B12, 338_B11, 138_B3, 329_C5, 39_A10, 85_B3","9_B2, 29_C2, 36_G8, 42_B6, 43_B11, 45_A9"
SO_3104,['SO_3104'],3232330,3232542,3232330,3232542,"3232377, 3232377, 3232377","47, 47, 47","0.22, 0.22, 0.22","True, True, True","unambiguous, unambiguous, unambiguous","214_A3, 214_B3, 214_B3","39_A3, 39_B3, 39_C3"
SO_3105,['SO_3105'],3232568,3232966,3232568,3232966,"3232775","207","0.52","False","unambiguous","287_A6","24_D10"
sapSH,['SO_3106'],3233543,3235966,3233543,3235966,"3233580, 3235536","37, 1993","0.02, 0.82","False, True","unambiguous, unambiguous","402_D11, 295_B3","34_H6, 41_F7"
yaeQ,['SO_3107'],3236077,3236622,3236622,3236077,"3236599","23","0.04","False","unambiguous","149_H11","36_E12"
SO_3108,['SO_3108'],3236708,3237619,3237619,3236708,"3237353","266","0.29","False","unambiguous","42_F6","9_G1"
SO_3109,['SO_3109'],3237955,3238272,3238272,3237955,"3238064","208","0.66","False","unambiguous","396_H8","34_C2"
secF,['SO_3110'],3238534,3239481,3239481,3238534,"3239028","453","0.48","False","unambiguous","310_G9","27_B2"
secD,['SO_3111'],3239495,3241345,3241345,3239495,"3241312","33","0.02","False","unambiguous","292_B11","25_H2"
yajC,['SO_3112'],3241363,3241695,3241695,3241363,"","","","","","",""
tgt,['SO_3113'],3241722,3242846,3242846,3241722,"3242275","571","0.51","False","unambiguous","374_F9","32_B3"
queA,['SO_3114'],3243008,3244045,3244045,3243008,"3244038, 3244038, 3244038, 3243728","7, 7, 7, 317","0.01, 0.01, 0.01, 0.31","False, True, True, True","unambiguous, unambiguous, unambiguous, ambiguous","107_B6, 107_B3, 107_B3, 49_B3","12_A1, 35_G12, 35_H12, 44_C11"
SO_3115,['SO_3115'],3244110,3244319,3244319,3244110,"3244265","54","0.26","False","unambiguous","275_H8","23_E11"
SO_3116,['SO_3116'],3244504,3245118,3244504,3245118,"3244982","478","0.78","False","unambiguous","156_C9","14_D8"
SO_3117,['SO_3117'],3245216,3245770,3245216,3245770,"3245677, 3245677","461, 461","0.83, 0.83","True, True","ambiguous, ambiguous","344_D3, 344_D3","29_C9, 42_C10"
SO_3118,['SO_3118'],3245850,3246521,3245850,3246521,"3245927","77","0.11","False","unambiguous","226_D10","20_A3"
SO_3119,['SO_3119'],3246624,3247058,3247058,3246624,"3246841","217","0.50","False","unambiguous","15_B4","7_B9"
agaO,['SO_3120'],3247389,3248768,3247389,3248768,"3247718, 3247397","329, 8","0.24, 0.01","True, True","unambiguous, unambiguous","234_B12, 267_D3","20_B10, 40_C11"
SO_3121,['SO_3121'],3248833,3249357,3249357,3248833,"","","","","","",""
sstT,['SO_3122'],3249434,3250660,3250660,3249434,"3250214, 3249951","446, 709","0.36, 0.58","True, False","unambiguous, unambiguous","193_H3, 263_H2","17_E10, 22_B11"
cheV,['SO_3123'],3250832,3251731,3251731,3250832,"3251626","105","0.12","False","ambiguous","287_C2","24_G10"
SO_3124,['SO_3124'],3251869,3252339,3252339,3251869,"3252162, 3251885","177, 454","0.38, 0.97","False, True","unambiguous, unambiguous","292_F3, 59_G9","25_H3, 45_G1"
